AUDUSD,EURCHF,EURNOK,EURSEK,EURUSD,GBPUSD,NZDUSD,USDCAD,USDJPY
0.66605,1.5581,8.2705,9.145,1.1303,1.6048,0.5887,1.3662,117.19
0.66592,1.5584,8.2705,9.145,1.1304,1.6051,0.58875,1.3663,117.19
0.6661,1.5585,8.2695,9.1475,1.1303,1.6049,0.58875,1.3661,117.21
0.6661,1.5589,8.2695,9.1485,1.1299,1.6046,0.5887,1.3665,117.19
0.66642,1.5598,8.2695,9.1485,1.1307,1.6051,0.58925,1.3659,117.14
0.66652,1.5597,8.27,9.1493,1.131,1.6052,0.58895,1.3658,117.07
0.66612,1.561,8.269,9.1515,1.1305,1.6037,0.5891,1.3656,116.98
0.66577,1.5613,8.272,9.1481,1.1286,1.6025,0.5886,1.3663,116.83
0.66458,1.5615,8.2725,9.1502,1.1277,1.6007,0.5875,1.3672,116.7
0.66468,1.5615,8.2695,9.158,1.1273,1.6006,0.58755,1.3669,116.64
0.66448,1.5596,8.2673,9.164,1.1255,1.6016,0.58725,1.3663,116.67
0.66342,1.5577,8.27,9.1663,1.1243,1.5992,0.58665,1.3688,116.57
0.66378,1.558,8.2758,9.1608,1.1246,1.5998,0.58655,1.3684,116.58
0.66328,1.5579,8.2725,9.1563,1.1244,1.5985,0.58595,1.3686,116.54
0.66352,1.5582,8.2722,9.1547,1.1253,1.5994,0.58625,1.3688,116.44
0.66312,1.5572,8.271,9.1486,1.1214,1.5947,0.58595,1.3697,116.42
0.66235,1.5567,8.2705,9.1501,1.1215,1.5935,0.58475,1.3697,116.4
0.66305,1.5573,8.2703,9.1445,1.1223,1.5927,0.58535,1.3701,116.28
0.66305,1.5569,8.2715,9.146,1.122,1.5923,0.58505,1.3696,116.32
0.66375,1.5573,8.2685,9.1267,1.1234,1.5942,0.58615,1.3669,116.31
0.66408,1.5554,8.267,9.1185,1.1232,1.5941,0.58645,1.3665,116.23
0.66415,1.5559,8.2665,9.1151,1.1245,1.593,0.58675,1.3656,116.26
0.66312,1.5555,8.262,9.1106,1.1229,1.5923,0.5853,1.366,116.33
0.66365,1.5557,8.2585,9.0988,1.1237,1.5931,0.58605,1.3662,116.29
0.66185,1.5546,8.2592,9.0955,1.1191,1.589,0.58455,1.3676,116.36
0.66215,1.5566,8.2598,9.086,1.1182,1.5882,0.58375,1.3685,116.42
0.66235,1.557,8.2533,9.0895,1.1191,1.5881,0.5845,1.3689,116.23
0.66125,1.554,8.2507,9.094,1.1165,1.5881,0.5837,1.3696,116.25
0.66135,1.5545,8.2507,9.0943,1.1167,1.5884,0.5842,1.3684,116.26
0.66142,1.5548,8.2507,9.0959,1.1168,1.5873,0.5839,1.368,116.22
0.66108,1.5528,8.2775,9.1025,1.1175,1.5884,0.58425,1.3703,116.12
0.66155,1.5531,8.2763,9.0998,1.1183,1.5893,0.58425,1.3687,116.09
0.66155,1.5522,8.277,9.0998,1.1169,1.5862,0.58405,1.3696,116.16
0.66368,1.553,8.277,9.103,1.1172,1.5868,0.585,1.3689,116.15
0.66352,1.5535,8.2785,9.1007,1.1172,1.5876,0.58485,1.3686,116.13
0.66348,1.5531,8.2793,9.0995,1.1172,1.5872,0.5849,1.3685,116.13
0.66328,1.5532,8.279,9.0975,1.1174,1.5871,0.58465,1.3693,116.14
0.66278,1.5533,8.279,9.0975,1.1179,1.588,0.5849,1.369,116.19
0.66228,1.5533,8.279,9.0985,1.1172,1.5875,0.5848,1.3691,116.22
0.66228,1.5533,8.279,9.0985,1.1172,1.5874,0.5844,1.3696,116.19
0.66228,1.5533,8.279,9.0985,1.1172,1.5873,0.58465,1.3702,116.24
0.66222,1.5533,8.2775,9.097,1.1173,1.5878,0.58495,1.3697,116.15
0.66182,1.5533,8.2775,9.097,1.1167,1.5875,0.58485,1.3699,116.13
0.66182,1.5523,8.2765,9.0925,1.1153,1.5865,0.5847,1.3697,116.13
0.66188,1.5528,8.2765,9.0905,1.1161,1.5886,0.5848,1.3698,116.21
0.66145,1.5529,8.275,9.0905,1.116,1.5882,0.5845,1.3706,116.24
0.66188,1.5532,8.275,9.0905,1.1162,1.5884,0.5845,1.3705,116.19
0.66218,1.5533,8.275,9.089,1.1164,1.5888,0.5848,1.3717,116.28
0.66198,1.5534,8.275,9.089,1.1161,1.5889,0.58465,1.3714,116.29
0.66198,1.554,8.2685,9.089,1.116,1.5886,0.5843,1.3716,116.27
0.66145,1.5539,8.268,9.0885,1.1149,1.5878,0.5837,1.3714,116.26
0.66098,1.5539,8.268,9.0885,1.1157,1.5887,0.58375,1.3722,116.19
0.66045,1.5538,8.2675,9.0885,1.1158,1.5882,0.58305,1.3726,116.14
0.65928,1.5535,8.266,9.088,1.1146,1.5873,0.58275,1.3728,116.06
0.65958,1.5534,8.2657,9.0876,1.115,1.5872,0.58225,1.3724,116.06
0.66025,1.5544,8.2647,9.0875,1.1158,1.5884,0.58275,1.3704,116.11
0.65948,1.5536,8.2708,9.0893,1.1141,1.5866,0.58265,1.3713,116.29
0.66025,1.5539,8.2645,9.0853,1.1172,1.5901,0.58325,1.3712,116.2
0.66072,1.5539,8.2635,9.0783,1.1173,1.5875,0.58335,1.3707,116.22
0.66108,1.5536,8.2575,9.0713,1.1177,1.5889,0.58365,1.3707,116.28
0.66092,1.5521,8.2623,9.0775,1.117,1.5928,0.58355,1.3721,116.19
0.66132,1.5515,8.261,9.076,1.1166,1.5943,0.58355,1.3719,116.2
0.66112,1.5504,8.2603,9.0745,1.1157,1.5956,0.58355,1.3734,116.2
0.66225,1.551,8.263,9.0775,1.1196,1.5987,0.58405,1.371,116.26
0.66278,1.5502,8.2615,9.0774,1.1194,1.5985,0.58515,1.3707,116.37
0.66325,1.5488,8.267,9.0835,1.1206,1.6001,0.58435,1.3687,116.39
0.66335,1.5497,8.2655,9.079,1.1214,1.6007,0.58465,1.368,116.33
0.66388,1.5498,8.199,9.0795,1.1223,1.6014,0.58505,1.3668,116.39
0.66355,1.5489,8.203,9.0885,1.1215,1.6003,0.5852,1.3672,116.37
0.66395,1.5511,8.1867,9.0495,1.1228,1.6022,0.58605,1.3698,116.36
0.66402,1.5515,8.1895,9.0624,1.1229,1.6025,0.58515,1.3668,116.38
0.66365,1.5526,8.184,9.065,1.1228,1.6025,0.5834,1.3673,116.33
0.66385,1.5535,8.1852,9.0595,1.1232,1.6028,0.5827,1.3672,116.4
0.66365,1.5537,8.189,9.057,1.1236,1.6032,0.57985,1.3676,116.13
0.66388,1.5536,8.198,9.0603,1.1237,1.6041,0.58095,1.3664,116.06
0.66468,1.5542,8.201,9.0633,1.1241,1.6053,0.58215,1.3659,116.05
0.66438,1.5537,8.1987,9.064,1.124,1.6042,0.58205,1.366,116.04
0.66505,1.553,8.198,9.0625,1.1245,1.6048,0.58285,1.3659,115.99
0.66565,1.5547,8.1945,9.059,1.1276,1.6067,0.58355,1.3655,115.99
0.66572,1.5532,8.1945,9.0473,1.1295,1.6095,0.58355,1.3648,116.28
0.66575,1.554,8.1933,9.036,1.1297,1.6095,0.5834,1.3643,116.19
0.66522,1.5551,8.1927,9.0365,1.1285,1.6087,0.5839,1.3661,116.22
0.66522,1.5562,8.1915,9.0347,1.1284,1.6095,0.58385,1.3661,116.17
0.66532,1.5567,8.189,9.0335,1.1286,1.6093,0.58365,1.3652,116.13
0.66545,1.5566,8.1885,9.036,1.1284,1.6094,0.58365,1.3662,116.02
0.66515,1.5566,8.1895,9.036,1.1289,1.6093,0.58385,1.3664,116.06
0.66455,1.5566,8.1895,9.036,1.1289,1.6093,0.58365,1.366,116.05
0.66458,1.5565,8.1895,9.036,1.1282,1.6081,0.58365,1.3669,116.05
0.66455,1.5569,8.1895,9.036,1.1274,1.6084,0.5837,1.3672,116.14
0.66475,1.5566,8.1825,9.0335,1.1277,1.6085,0.584,1.3672,116.1
0.66445,1.5565,8.186,9.0345,1.1279,1.6078,0.5838,1.3677,116.12
0.66532,1.5568,8.1885,9.0345,1.1283,1.6077,0.584,1.3665,116.1
0.66532,1.5573,8.1885,9.0345,1.1283,1.6081,0.58455,1.3656,116.12
0.66488,1.557,8.188,9.0345,1.1276,1.6074,0.5839,1.3655,116.07
0.66468,1.5568,8.188,9.0345,1.1274,1.6071,0.58355,1.3657,116.08
0.66452,1.5568,8.188,9.0325,1.1274,1.607,0.5837,1.3666,116.07
0.66482,1.5572,8.18,9.034,1.1276,1.6072,0.58425,1.3668,116.07
0.66478,1.5574,8.18,9.034,1.1274,1.6074,0.5843,1.3662,116.07
0.66468,1.5569,8.18,9.034,1.1271,1.6074,0.5841,1.3663,116.08
0.66435,1.5565,8.18,9.034,1.1268,1.6072,0.58355,1.3664,116.07
0.66428,1.5566,8.1805,9.034,1.1273,1.6074,0.5838,1.3663,116.03
0.66468,1.5568,8.1783,9.0367,1.1274,1.6075,0.584,1.3658,115.97
0.66472,1.556,8.177,9.0353,1.1273,1.6081,0.5841,1.3656,115.98
0.66532,1.5575,8.1687,9.0273,1.129,1.6106,0.5854,1.3651,115.95
0.66548,1.5568,8.1873,9.0182,1.1286,1.6116,0.5855,1.3652,115.83
0.66582,1.5567,8.182,9.0115,1.1289,1.6112,0.58535,1.3656,115.8
0.66522,1.5554,8.1755,8.9817,1.1264,1.6104,0.5856,1.3663,115.73
0.66552,1.5556,8.1655,9.0135,1.1277,1.6137,0.5854,1.3659,115.78
0.66458,1.5556,8.159,9.0115,1.1275,1.6144,0.58505,1.3663,115.83
0.66465,1.5563,8.1537,9.0147,1.1263,1.6136,0.5845,1.3661,115.84
0.66482,1.5586,8.152,9.0143,1.1272,1.6141,0.58415,1.3676,115.78
0.66512,1.5589,8.1575,9.0185,1.1257,1.612,0.58415,1.3677,115.82
0.66558,1.5576,8.164,9.0213,1.1276,1.6145,0.58465,1.3679,115.7
0.66605,1.5573,8.164,9.018,1.1284,1.6143,0.58525,1.3673,115.44
0.66638,1.5585,8.1695,9.0309,1.1294,1.6153,0.5858,1.3669,115.42
0.66782,1.5588,8.163,9.0125,1.1295,1.6171,0.5853,1.3648,115.32
0.66855,1.5595,8.1687,9.0263,1.1296,1.6177,0.5852,1.3643,114.94
0.66935,1.5596,8.168,9.0265,1.1343,1.6214,0.5864,1.3612,114.8
0.66868,1.5598,8.1633,9.0275,1.1316,1.6187,0.58665,1.3615,115.02
0.66765,1.5586,8.1538,9.0221,1.128,1.6178,0.58615,1.3628,115.2
0.66678,1.5598,8.151,9.0212,1.1262,1.6165,0.5853,1.3652,115.21
0.66665,1.5579,8.1535,9.0335,1.1263,1.6178,0.58475,1.3642,115.11
0.66608,1.5577,8.1525,9.0355,1.1243,1.615,0.5835,1.3652,115.18
0.66675,1.5582,8.149,9.0425,1.126,1.6167,0.58485,1.3635,115.23
0.66665,1.5583,8.1425,9.0438,1.1245,1.6152,0.5845,1.3643,115.24
0.66685,1.5584,8.1348,9.033,1.1256,1.6165,0.58475,1.3624,115.13
0.66615,1.5583,8.1348,9.0265,1.1248,1.6164,0.5841,1.3626,115.24
0.66602,1.5581,8.1335,9.0338,1.1241,1.6155,0.58505,1.3623,115.24
0.66628,1.5587,8.1335,9.032,1.1243,1.6142,0.5847,1.3622,115.36
0.66622,1.5589,8.1345,9.045,1.1244,1.6146,0.58475,1.361,115.35
0.66648,1.5586,8.1345,9.0463,1.1256,1.6182,0.5846,1.3606,115.39
0.66572,1.5582,8.1327,9.0475,1.1243,1.617,0.5847,1.3611,115.35
0.66605,1.5589,8.1327,9.048,1.1254,1.6173,0.5846,1.3608,115.24
0.66602,1.5587,8.1327,9.048,1.1246,1.6175,0.58455,1.3626,115.3
0.66662,1.5587,8.1327,9.048,1.1247,1.6171,0.5849,1.3623,115.3
0.66685,1.5587,8.1327,9.048,1.1243,1.6166,0.5859,1.3624,115.28
0.66715,1.5587,8.1327,9.048,1.1248,1.6167,0.5863,1.3617,115.25
0.66698,1.5586,8.1305,9.049,1.1251,1.6169,0.5866,1.362,115.26
0.66805,1.5588,8.129,9.0495,1.1248,1.6167,0.58675,1.3618,115.31
0.66765,1.5589,8.129,9.0475,1.1247,1.6167,0.587,1.3623,115.35
0.66772,1.5587,8.1285,9.0475,1.1245,1.617,0.58695,1.3625,115.43
0.66798,1.5583,8.13,9.049,1.1248,1.6174,0.58705,1.3619,115.47
0.66862,1.5585,8.1305,9.05,1.1249,1.6172,0.5877,1.3618,115.41
0.66865,1.5586,8.1305,9.049,1.1255,1.6167,0.58795,1.3596,115.34
0.66815,1.5586,8.1305,9.049,1.1256,1.6168,0.588,1.3595,115.33
0.66842,1.5591,8.128,9.049,1.1253,1.6172,0.58795,1.3596,115.39
0.66835,1.5587,8.1275,9.049,1.1254,1.6176,0.588,1.3596,115.42
0.66842,1.5587,8.127,9.027,1.1254,1.6173,0.58755,1.3597,115.4
0.66825,1.5585,8.1265,9.0285,1.1256,1.6173,0.5873,1.3596,115.35
0.66848,1.5587,8.1265,9.0285,1.1254,1.6151,0.58735,1.3597,115.38
0.66865,1.559,8.1305,9.0248,1.1257,1.6148,0.5875,1.3594,115.36
0.66872,1.5598,8.133,9.0265,1.1255,1.6153,0.58785,1.3594,115.32
0.66792,1.5586,8.1348,9.0223,1.1244,1.6177,0.58775,1.36,115.29
0.66852,1.5591,8.1342,9.0345,1.1265,1.6193,0.58825,1.3597,115.21
0.66872,1.5593,8.141,9.0304,1.1268,1.6212,0.58725,1.3601,115.26
0.66875,1.5595,8.151,9.034,1.1276,1.623,0.58795,1.3592,115.22
0.66855,1.5592,8.1458,9.0237,1.1267,1.6227,0.58795,1.359,115.17
0.66765,1.5593,8.153,9.027,1.1279,1.6236,0.58745,1.359,115.19
0.66785,1.559,8.1613,9.0268,1.1296,1.6257,0.58775,1.3588,115.19
0.66788,1.5588,8.158,9.0277,1.1289,1.6255,0.58725,1.3592,115.24
0.66822,1.5591,8.1535,9.026,1.1286,1.6254,0.58775,1.3587,115.38
0.66868,1.5596,8.1565,9.0251,1.1294,1.6261,0.58775,1.3567,115.29
0.66878,1.5591,8.1527,9.0288,1.1311,1.626,0.58805,1.3568,115.03
0.67018,1.5588,8.1585,9.045,1.1316,1.6272,0.58925,1.355,114.89
0.67038,1.5585,8.1575,9.0397,1.1317,1.6287,0.5885,1.3528,114.51
0.67078,1.5582,8.153,9.042,1.1309,1.6284,0.58795,1.3526,114.53
0.67082,1.5577,8.1513,9.0525,1.1313,1.6297,0.58805,1.3504,114.37
0.67202,1.5541,8.1455,9.0635,1.1325,1.6295,0.59055,1.3504,114.03
0.67272,1.5543,8.158,9.0622,1.1363,1.6329,0.5898,1.3471,113.79
0.67282,1.5555,8.1515,9.062,1.1356,1.633,0.5899,1.3476,113.87
0.67215,1.5554,8.1515,9.0633,1.1341,1.632,0.58965,1.3485,113.95
0.67252,1.5545,8.1515,9.0495,1.1366,1.633,0.58985,1.3481,113.92
0.67215,1.5538,8.1463,9.0345,1.1365,1.6358,0.5902,1.3485,113.81
0.67352,1.5537,8.1463,9.0405,1.1374,1.636,0.5927,1.3478,113.83
0.67295,1.5543,8.1493,9.0337,1.1374,1.6364,0.59175,1.3478,113.83
0.67255,1.5543,8.1485,9.0425,1.1367,1.6348,0.59195,1.349,114.14
0.67192,1.5544,8.1485,9.032,1.1358,1.6338,0.59195,1.3501,114.29
0.67212,1.5547,8.1485,9.029,1.1367,1.6348,0.59215,1.3515,114.27
0.67145,1.5542,8.1485,9.0325,1.1367,1.636,0.59125,1.3511,114.29
0.67165,1.5546,8.1485,9.0327,1.1361,1.6372,0.59085,1.3492,114.17
0.67262,1.5554,8.1485,9.0337,1.1373,1.6357,0.5924,1.349,114.01
0.67262,1.5554,8.1485,9.0337,1.1373,1.6357,0.5924,1.349,114.01
0.67262,1.5554,8.1485,9.0337,1.1373,1.6357,0.5924,1.349,114.01
0.67262,1.5554,8.1485,9.0337,1.1373,1.6357,0.5924,1.349,114.01
0.67262,1.5554,8.1485,9.0337,1.1373,1.6357,0.5924,1.349,114.01
0.68138,1.5572,8.1545,9.0425,1.1471,1.6492,0.5981,1.3408,111.72
0.68135,1.5557,8.155,9.0455,1.1464,1.648,0.5989,1.3418,112.13
0.68102,1.5578,8.155,9.0455,1.1449,1.6484,0.5984,1.3417,112.11
0.68032,1.5573,8.1545,9.046,1.1446,1.6468,0.59855,1.342,112.44
0.68008,1.5576,8.1535,9.046,1.1441,1.6452,0.5981,1.3433,112.38
0.67918,1.5573,8.1545,9.044,1.1434,1.6444,0.598,1.3434,112.24
0.68018,1.5571,8.1545,9.05,1.1448,1.6465,0.5985,1.3436,112.24
0.68002,1.5563,8.1545,9.05,1.1447,1.6467,0.59735,1.3438,112.18
0.67995,1.5563,8.1545,9.05,1.1443,1.6475,0.59725,1.3439,112.18
0.68012,1.5564,8.1545,9.05,1.1463,1.6493,0.59705,1.3439,112.15
0.68048,1.557,8.1545,9.0525,1.1468,1.6486,0.597,1.3427,112.11
0.67945,1.5569,8.1565,9.052,1.145,1.6483,0.59525,1.3426,112.28
0.67862,1.557,8.1605,9.0497,1.1443,1.6459,0.59495,1.3434,112.36
0.67942,1.5559,8.1575,9.0475,1.1455,1.6473,0.59565,1.3425,112.23
0.67918,1.5569,8.1555,9.0605,1.1444,1.6458,0.59595,1.3425,112.35
0.67745,1.5564,8.1533,9.0405,1.1424,1.6444,0.5952,1.3447,112.67
0.67805,1.5572,8.1498,9.045,1.1453,1.6464,0.59535,1.3438,112.45
0.67872,1.5569,8.1555,9.052,1.1456,1.6468,0.59625,1.3434,112.44
0.67858,1.5555,8.1635,9.0563,1.1469,1.6474,0.59565,1.3392,112.36
0.67972,1.5548,8.1767,9.0537,1.1475,1.6473,0.59675,1.3368,112.24
0.68008,1.5528,8.1685,9.0598,1.1471,1.647,0.59635,1.3386,112.36
0.67815,1.553,8.162,9.0585,1.1462,1.646,0.59565,1.3405,112.33
0.67842,1.5522,8.1715,9.0634,1.1469,1.6474,0.59495,1.3391,112.17
0.67948,1.5537,8.1763,9.0715,1.1478,1.6475,0.59585,1.3386,111.81
0.67945,1.5535,8.1743,9.0668,1.1474,1.6469,0.59635,1.3377,111.89
0.67908,1.5535,8.1723,9.0665,1.1469,1.6452,0.5974,1.3413,111.97
0.67945,1.5538,8.1733,9.0669,1.1461,1.6452,0.5973,1.3425,112.22
0.68013,1.5517,8.169,9.067,1.1446,1.6445,0.5974,1.344,112.27
0.67992,1.5529,8.1673,9.0624,1.1474,1.6467,0.5983,1.3437,111.97
0.67985,1.5535,8.165,9.0524,1.147,1.648,0.59785,1.345,112.07
0.68042,1.5528,8.1638,9.0649,1.1484,1.6495,0.59825,1.3443,111.94
0.67988,1.5539,8.1645,9.0557,1.148,1.648,0.59695,1.3463,111.93
0.67992,1.5529,8.17,9.0587,1.1466,1.6457,0.59675,1.3479,111.98
0.67995,1.5538,8.1715,9.05,1.1466,1.6467,0.59685,1.3477,111.97
0.68105,1.5546,8.1665,9.0463,1.1476,1.6485,0.59745,1.3471,112.03
0.68155,1.5542,8.169,9.053,1.1489,1.6543,0.59975,1.3462,111.93
0.68105,1.5531,8.172,9.0595,1.1499,1.6537,0.5997,1.3465,111.66
0.68055,1.5534,8.172,9.061,1.1481,1.6518,0.5989,1.346,111.88
0.68068,1.5533,8.1725,9.0475,1.1493,1.6536,0.5985,1.346,111.63
0.68005,1.5522,8.17,9.0385,1.1484,1.6514,0.5983,1.3443,111.85
0.67938,1.5519,8.1693,9.032,1.1482,1.6504,0.5962,1.3459,112
0.67795,1.552,8.1725,9.031,1.1473,1.6488,0.5943,1.3474,112.16
0.67872,1.5521,8.1713,9.0295,1.1473,1.6497,0.5955,1.3474,112.13
0.67812,1.5528,8.1713,9.029,1.1462,1.6499,0.59605,1.3498,112.22
0.67782,1.5527,8.1693,9.029,1.1465,1.6498,0.5962,1.3535,112.27
0.67772,1.5527,8.1693,9.029,1.1463,1.6485,0.59625,1.3547,112.3
0.67832,1.5527,8.1693,9.029,1.1463,1.6485,0.5962,1.3547,112.29
0.67878,1.5527,8.1693,9.03,1.1477,1.6489,0.5964,1.3547,112.13
0.67858,1.5529,8.1693,9.03,1.1476,1.6486,0.5964,1.3545,112.09
0.67835,1.553,8.1693,9.03,1.1468,1.6485,0.5963,1.3529,112.04
0.67843,1.5523,8.1693,9.03,1.1472,1.6485,0.5962,1.3526,112.08
0.67837,1.5521,8.1675,9.04,1.1462,1.6485,0.59615,1.3514,112.19
0.67812,1.5523,8.1705,9.042,1.1468,1.648,0.5961,1.3508,112.12
0.67877,1.5529,8.1705,9.0395,1.148,1.6482,0.5965,1.3504,112.04
0.67817,1.5533,8.1705,9.0355,1.1478,1.6482,0.5963,1.3503,112.03
0.67825,1.5533,8.1705,9.0355,1.1482,1.6487,0.5962,1.3502,111.97
0.67802,1.5529,8.1705,9.0345,1.1482,1.6487,0.5962,1.3505,111.92
0.67795,1.5528,8.1705,9.0345,1.1482,1.6484,0.596,1.351,111.96
0.67813,1.5532,8.169,9.0345,1.148,1.6485,0.596,1.3511,112.03
0.67798,1.5532,8.169,9.0345,1.148,1.6481,0.59665,1.3516,112.03
0.67758,1.5533,8.163,9.0293,1.148,1.648,0.59605,1.3516,112.01
0.67755,1.5537,8.1613,9.029,1.1481,1.6478,0.5957,1.3513,112.04
0.67775,1.5546,8.1545,9.019,1.1483,1.649,0.59535,1.3502,111.93
0.67785,1.5531,8.159,9.0202,1.1464,1.6477,0.59635,1.3506,111.7
0.67808,1.5522,8.1513,9.0175,1.1463,1.6475,0.59545,1.3504,111.52
0.67998,1.5527,8.1545,9.0148,1.1485,1.6529,0.59675,1.347,111.32
0.68075,1.5522,8.1525,9.0313,1.1511,1.6543,0.59865,1.3476,111.01
0.67798,1.5521,8.161,9.0358,1.1491,1.6524,0.59655,1.3474,111.21
0.67818,1.5518,8.158,9.0334,1.1483,1.6522,0.59615,1.3493,111.21
0.67865,1.552,8.1563,9.0331,1.1493,1.6543,0.59655,1.3494,111.22
0.67842,1.5521,8.1588,9.0318,1.1487,1.6536,0.59565,1.3507,111.41
0.67768,1.5546,8.1553,9.0261,1.1482,1.6557,0.59515,1.3528,111.24
0.67778,1.5532,8.152,9.0303,1.1469,1.6538,0.59515,1.3517,111.31
0.67805,1.5534,8.1375,9.0275,1.1473,1.6538,0.59595,1.3506,111.55
0.67678,1.5531,8.14,9.0277,1.1464,1.652,0.5946,1.3524,111.7
0.67755,1.5526,8.1475,9.0317,1.1476,1.6535,0.5943,1.353,111.55
0.67848,1.5525,8.1273,9.0185,1.1482,1.6551,0.59345,1.3543,111.65
0.67732,1.553,8.1357,9.0045,1.1466,1.6524,0.5932,1.3566,111.85
0.67745,1.5535,8.119,8.9938,1.1461,1.6519,0.59315,1.3551,111.71
0.67828,1.5534,8.098,8.972,1.1479,1.6525,0.59375,1.3547,111.46
0.67842,1.5544,8.0938,8.953,1.1484,1.6544,0.5943,1.355,111.63
0.67895,1.5539,8.0935,8.9437,1.1486,1.6556,0.5951,1.356,111.63
0.67888,1.5549,8.0935,8.94,1.1486,1.6566,0.5947,1.3571,111.69
0.67925,1.5541,8.0935,8.936,1.1484,1.658,0.5958,1.3562,111.78
0.67922,1.5539,8.0938,8.945,1.1483,1.6567,0.59685,1.3544,111.76
0.67758,1.5532,8.098,8.9413,1.1467,1.6545,0.596,1.3558,111.99
0.67645,1.5541,8.0895,8.9435,1.1467,1.6539,0.5953,1.3561,112.04
0.67662,1.5543,8.0895,8.9435,1.1464,1.6529,0.5948,1.3557,112.08
0.67568,1.5558,8.0895,8.9407,1.1456,1.6525,0.5939,1.3563,112.18
0.67595,1.5549,8.0933,8.9335,1.1453,1.6527,0.59435,1.3571,112.23
0.67598,1.5545,8.092,8.9305,1.1444,1.6513,0.5932,1.357,112.27
0.67602,1.5555,8.092,8.9335,1.1444,1.6513,0.593,1.3571,112.28
0.67572,1.5546,8.092,8.9345,1.1446,1.6509,0.5937,1.3572,112.28
0.67552,1.5545,8.092,8.9325,1.1436,1.6499,0.5935,1.3555,112.35
0.67538,1.5545,8.0875,8.9375,1.1437,1.6504,0.5932,1.355,112.35
0.67465,1.5545,8.0825,8.9375,1.1435,1.65,0.5925,1.355,112.28
0.67472,1.5545,8.0825,8.9365,1.144,1.6503,0.5922,1.3557,112.26
0.67375,1.5544,8.0825,8.9365,1.144,1.6499,0.5922,1.3565,112.28
0.67365,1.5543,8.0815,8.934,1.1447,1.6504,0.5922,1.3572,112.2
0.67375,1.5546,8.0785,8.935,1.1446,1.6504,0.5917,1.3573,112.24
0.67452,1.5553,8.0805,8.9375,1.1453,1.6508,0.5921,1.3565,112.06
0.67438,1.5549,8.0805,8.9345,1.1451,1.6508,0.5919,1.3572,112.06
0.67425,1.5549,8.0815,8.938,1.1448,1.6499,0.5922,1.3574,112.17
0.67442,1.555,8.0815,8.938,1.1451,1.6499,0.5921,1.3575,112.14
0.67482,1.5548,8.0815,8.938,1.1454,1.6503,0.5925,1.3574,112.14
0.67472,1.5552,8.0785,8.938,1.1453,1.6502,0.5928,1.3574,112.12
0.67525,1.5552,8.0815,8.938,1.1456,1.6503,0.5933,1.3571,112.14
0.67542,1.5552,8.082,8.943,1.1461,1.6509,0.5933,1.3569,112.15
0.67535,1.5551,8.08,8.9435,1.1462,1.6505,0.5934,1.357,112.13
0.67502,1.5551,8.0835,8.9433,1.1455,1.6506,0.593,1.3576,112.13
0.67472,1.5541,8.084,8.9325,1.1438,1.6481,0.5928,1.3576,112.2
0.67455,1.5539,8.0755,8.931,1.1433,1.6481,0.59275,1.3574,112.19
0.67515,1.5542,8.0837,8.9315,1.1451,1.6517,0.5934,1.3564,112.06
0.67615,1.5538,8.077,8.9384,1.1458,1.653,0.59385,1.3567,111.97
